form	tag
Тогда	ADV
бы	AUX
узрел	VERB
легендарную	ADJ
щуку	NOUN
векующую	VERB
в	ADP
озорной	ADJ
озерине	NOUN
Страх	PROPN
смотрится	VERB
в	ADP
воду	NOUN
Хохочет	PROPN
Ищу	PROPN
куда	ADV
бы	AUX
укрыться	VERB
мне	PRON
в	ADP
этой	ADJ
грустыне	NOUN
По	ADP
походке	NOUN
и	CONJ
выражению	NOUN
лица	NOUN
подошедшего	VERB
сразу	ADV
же	PART
делалось	VERB
понятным	ADJ
откуда	ADV
он	PRON
явился	VERB
он	PRON
был	AUX
окутан	VERB
невидимым	ADJ
раскалённым	ADJ
облаком	NOUN
казалось	VERB
что	CONJ
при	ADP
быстрых	ADJ
движениях	NOUN
не	PART
плащ	NOUN
палатка	NOUN
шуршит	VERB
а	CONJ
потрескивает	VERB
электричество	NOUN
которым	PRON
насыщен	VERB
этот	ADJ
человек	NOUN
Меня	PRON
забулили	VERB
только	PART
за	ADP
то	PRON
что	CONJ
я	PRON
не	PART
знаю	VERB
питон	NOUN
Мы	PRON
почиллим	VERB
и	CONJ
все	PRON
будет	AUX
с	ADP
кайфом	NOUN
не	PART
беспокойся	VERB
Эти	ADJ
формы	NOUN
прижились	VERB
в	ADP
русском	ADJ
языке	NOUN
и	CONJ
не	PART
вызывают	VERB
отторжения	NOUN
у	ADP
его	ADJ
носителей	NOUN
чего	PRON
не	PART
скажешь	VERB
о	ADP
феминитивах	NOUN
автор	NOUN
авторка	NOUN
фотограф	NOUN
фотографиня	PROPN
Наконец	ADV
нанотехнология	NOUN
не	PART
только	PART
область	NOUN
прикладных	ADJ
исследований	NOUN
но	CONJ
и	CONJ
фундамент	NOUN
на	ADP
котором	PRON
будет	AUX
зиждиться	VERB
наука	NOUN
будущего	NOUN
Сначала	ADV
они	PRON
проделывали	VERB
все	PRON
что	CONJ
нужно	ADJ
чтобы	CONJ
смеяться	VERB
до	ADP
упаду	NOUN
Джек	PROPN
бил	VERB
Пима	PROPN
по	ADP
морде	NOUN
и	CONJ
тот	ADJ
выпускал	VERB
сзади	ADV
облако	NOUN
пыли	NOUN
потом	ADV
Джек	PROPN
бил	VERB
Пима	PROPN
по	ADP
черепу	NOUN
и	CONJ
у	ADP
того	PRON
выскакивал	VERB
гуттаперчивый	ADJ
волдырь	NOUN
Если	CONJ
кампания	NOUN
сторонников	NOUN
ЮКОСа	NOUN
в	ADP
прессе	NOUN
будет	AUX
такой	ADJ
же	PART
интенсивной	ADJ
как	CONJ
прежде	ADV
то	PRON
дожуют	VERB
побыстрее	ADV
К	ADP
тихим	ADJ
относятся	VERB
столовые	ADJ
сухие	ADJ
полусухие	ADJ
полусладкие	ADJ
креплёные	ADJ
и	CONJ
десертные	ADJ
Есть	VERB
рестораны	NOUN
кафе	NOUN
столовые	ADJ
и	CONJ
просто	PART
забегаловки	NOUN
с	ADP
прекрасными	ADJ
меню	NOUN
Уже	ADV
не	PART
помню	VERB
по	ADP
какому	ADJ
случаю	NOUN
скорее	ADV
всего	PRON
как	CONJ
всегда	ADV
шел	VERB
куда	ADV
глаза	NOUN
глядят	VERB
и	CONJ
слушал	VERB
свои	ADJ
мысли	NOUN
а	CONJ
у	ADP
дороги	NOUN
находился	VERB
магазин	NOUN
который	PRON
торговал	VERB
великами	NOUN
деньги	NOUN
были	AUX
и	CONJ
я	PRON
купил	VERB
велик	NOUN
А	CONJ
потом	ADV
просто	PART
давала	VERB
им	PRON
деньги	NOUN
Даже	PART
когда	CONJ
они	PRON
перестали	VERB
охотиться	VERB
На	ADP
мороженное	ADJ
вообще	ADV
на	ADP
всякую	ADJ
ерунду	NOUN
Мы	PRON
просто	PART
пофанились	VERB
ничего	PRON
криминального	ADJ
Это	PRON
была	AUX
изи	ADJ
катка	NOUN
Слова	NOUN
героев	NOUN
стали	VERB
афоризмами	NOUN
и	CONJ
даже	PART
эпизодические	ADJ
роли	NOUN
находка	NOUN
вспомните	VERB
как	CONJ
товарищ	NOUN
Бубликов	PROPN
долго	ADV
не	PART
мог	VERB
сосредоточиться	VERB
на	ADP
работе	NOUN
видя	VERB
прекрасные	ADJ
ножки	NOUN
девушек	NOUN
